BLKID	POPN_TOTAL	POPN_WHITE	POPN_BLACK	POPN_NATIV	POPN_ASIAN	POPN_OTHER	BORONAME
"360850009001000"	"97"	"51"	"32"	"1"	"5"	"8"	Staten Island
"360850020011000"	"66"	"52"	"2"	"0"	"7"	"5"	Staten Island
"360850040001000"	"62"	"14"	"18"	"2"	"25"	"3"	Staten Island
"360850074001000"	"137"	"92"	"12"	"0"	"13"	"20"	Staten Island
"360850096011000"	"289"	"230"	"0"	"0"	"32"	"27"	Staten Island
"360850112011000"	"83"	"63"	"0"	"0"	"18"	"2"	Staten Island
"360850128041000"	"180"	"103"	"33"	"0"	"23"	"21"	Staten Island
"360850138001000"	"22"	"22"	"0"	"0"	"0"	"0"	Staten Island
"360850146051000"	"48"	"48"	"0"	"0"	"0"	"0"	Staten Island
"360850146071000"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850156021000"	"28"	"26"	"0"	"0"	"0"	"2"	Staten Island
"360850156031000"	"121"	"112"	"0"	"0"	"0"	"9"	Staten Island
"360850170111000"	"90"	"75"	"0"	"0"	"10"	"5"	Staten Island
"360850208041000"	"55"	"49"	"0"	"0"	"1"	"5"	Staten Island
"360850213001000"	"124"	"42"	"20"	"2"	"5"	"55"	Staten Island
"360850244011000"	"106"	"90"	"11"	"0"	"2"	"3"	Staten Island
"360850277021000"	"33"	"26"	"0"	"0"	"2"	"5"	Staten Island
"360850040001001"	"19"	"11"	"0"	"0"	"7"	"1"	Staten Island
"360850064001001"	"60"	"51"	"0"	"0"	"8"	"1"	Staten Island
"360850074001001"	"133"	"105"	"0"	"3"	"7"	"18"	Staten Island
"360850114011001"	"19"	"17"	"0"	"0"	"0"	"2"	Staten Island
"360850128041001"	"322"	"229"	"7"	"0"	"41"	"45"	Staten Island
"360850141001001"	"73"	"61"	"4"	"0"	"3"	"5"	Staten Island
"360850156021001"	"8"	"7"	"0"	"0"	"1"	"0"	Staten Island
"360850170111001"	"115"	"103"	"0"	"0"	"11"	"1"	Staten Island
"360850181001001"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850187011001"	"129"	"95"	"1"	"0"	"14"	"19"	Staten Island
"360850189011001"	"18"	"16"	"0"	"0"	"2"	"0"	Staten Island
"360850239001001"	"36"	"18"	"9"	"0"	"0"	"9"	Staten Island
"360850244021001"	"25"	"22"	"0"	"0"	"1"	"2"	Staten Island
"360850277041001"	"271"	"193"	"12"	"1"	"60"	"5"	Staten Island
"360850303011001"	"193"	"119"	"30"	"0"	"13"	"31"	Staten Island
"360850009001002"	"24"	"10"	"7"	"0"	"7"	"0"	Staten Island
"360850036001002"	"38"	"20"	"5"	"0"	"0"	"13"	Staten Island
"360850039001002"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850040001002"	"85"	"23"	"30"	"0"	"13"	"19"	Staten Island
"360850047001002"	"58"	"33"	"5"	"0"	"3"	"17"	Staten Island
"360850125001002"	"250"	"92"	"58"	"0"	"0"	"100"	Staten Island
"360850128041002"	"218"	"209"	"0"	"0"	"8"	"1"	Staten Island
"360850128061002"	"32"	"29"	"0"	"0"	"3"	"0"	Staten Island
"360850134001002"	"23"	"17"	"0"	"0"	"0"	"6"	Staten Island
"360850146061002"	"181"	"176"	"0"	"0"	"4"	"1"	Staten Island
"360850170121002"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850181001002"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850187011002"	"114"	"92"	"10"	"0"	"3"	"9"	Staten Island
"360850197001002"	"47"	"38"	"1"	"0"	"1"	"7"	Staten Island
"360850208011002"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850223001002"	"141"	"30"	"56"	"0"	"2"	"53"	Staten Island
"360850226001002"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850244021002"	"16"	"15"	"0"	"0"	"0"	"1"	Staten Island
"360850303021002"	"155"	"38"	"50"	"2"	"5"	"60"	Staten Island
"360850007001003"	"148"	"24"	"55"	"7"	"32"	"30"	Staten Island
"360850008001003"	"27"	"8"	"11"	"0"	"7"	"1"	Staten Island
"360850009001003"	"449"	"232"	"134"	"0"	"12"	"71"	Staten Island
"360850027001003"	"190"	"54"	"66"	"2"	"0"	"68"	Staten Island
"360850064001003"	"38"	"17"	"0"	"0"	"11"	"10"	Staten Island
"360850067001003"	"89"	"82"	"0"	"0"	"6"	"1"	Staten Island
"360850156031003"	"128"	"108"	"0"	"0"	"15"	"5"	Staten Island
"360850197001003"	"45"	"45"	"0"	"0"	"0"	"0"	Staten Island
"360850213001003"	"105"	"53"	"9"	"0"	"0"	"43"	Staten Island
"360850231001003"	"197"	"53"	"78"	"10"	"12"	"44"	Staten Island
"360850239001003"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850248001003"	"29"	"29"	"0"	"0"	"0"	"0"	Staten Island
"360850277061003"	"167"	"136"	"8"	"0"	"9"	"14"	Staten Island
"360850008001004"	"121"	"105"	"7"	"0"	"3"	"6"	Staten Island
"360850011001004"	"61"	"36"	"1"	"0"	"12"	"12"	Staten Island
"360850021001004"	"102"	"39"	"38"	"1"	"3"	"21"	Staten Island
"360850040001004"	"74"	"13"	"31"	"0"	"12"	"18"	Staten Island
"360850064001004"	"43"	"32"	"1"	"0"	"7"	"3"	Staten Island
"360850067001004"	"101"	"92"	"5"	"0"	"3"	"1"	Staten Island
"360850112011004"	"170"	"147"	"0"	"0"	"15"	"8"	Staten Island
"360850128041004"	"149"	"118"	"1"	"0"	"25"	"5"	Staten Island
"360850132031004"	"99"	"97"	"2"	"0"	"0"	"0"	Staten Island
"360850146041004"	"102"	"102"	"0"	"0"	"0"	"0"	Staten Island
"360850156011004"	"64"	"61"	"0"	"0"	"1"	"2"	Staten Island
