INCIDENT_D	BORONAME	NUM_VICTIM	PRIMARY_MO	ID	WEAPON	LIGHT_DARK	YEAR
2008/01/01	Brooklyn	"1"		"7"	gun	D	"2008"
2008/01/04	Manhattan	"1"		"14"	gun	D	"2008"
2008/01/05	Queens	"1"		"15"	gun	D	"2008"
2008/01/04	Queens	"1"		"16"	knife	D	"2008"
2008/01/05	Queens	"1"		"18"	gun	D	"2008"
2008/01/07	Brooklyn	"1"		"20"	gun	D	"2008"
2008/01/10	Manhattan	"1"		"22"	gun	D	"2008"
2008/01/10	Manhattan	"1"		"23"	gun	D	"2008"
2008/01/13	Staten Island	"1"		"25"	gun	D	"2008"
2008/01/16	Queens	"1"		"27"	gun	D	"2008"
2008/01/21	Manhattan	"1"		"30"	knife	D	"2008"
2008/01/21	Brooklyn	"1"		"31"	gun	D	"2008"
2008/01/24	Brooklyn	"1"		"32"	knife	D	"2008"
2008/01/28	Queens	"1"		"34"	gun	D	"2008"
2008/01/26	Brooklyn	"1"		"35"	gun	D	"2008"
2008/01/27	Queens	"1"		"36"	gun	D	"2008"
2008/01/29	Brooklyn	"1"		"39"	knife	D	"2008"
2007/12/17	Queens	"1"		"41"	gun	D	"2007"
2008/02/03	Brooklyn	"1"		"43"		L	"2008"
2008/02/05	Manhattan	"1"		"47"	gun	D	"2008"
2008/02/02	Brooklyn	"1"		"48"	gun	D	"2008"
2008/02/09	Queens	"1"		"50"	gun	L	"2008"
2008/02/12	Manhattan	"1"		"51"	knife	D	"2008"
2008/02/13	Brooklyn	"1"		"53"	knife	D	"2008"
2008/02/16	Brooklyn	"1"		"54"	gun	D	"2008"
2008/02/16	Queens	"1"		"58"	gun	D	"2008"
2008/02/19	Queens	"1"		"60"	gun	L	"2008"
2008/02/18	Queens	"1"		"61"	gun	L	"2008"
2008/02/24	Manhattan	"1"		"62"	gun	L	"2008"
2008/02/22	Brooklyn	"1"		"64"	gun	D	"2008"
2008/03/01	Brooklyn	"1"		"67"	knife	L	"2008"
2008/02/29	Manhattan	"1"		"69"	knife	L	"2008"
2008/03/04	Brooklyn	"1"		"70"	gun	D	"2008"
2008/03/08	Staten Island	"1"		"72"	knife	L	"2008"
2008/03/09	Brooklyn	"1"		"73"	gun	D	"2008"
2008/03/08	Queens	"1"		"75"		D	"2008"
2008/03/06	Brooklyn	"1"		"77"	gun	L	"2008"
2008/03/07	Brooklyn	"1"		"78"	gun	D	"2008"
2008/03/04	Brooklyn	"1"		"79"	gun	L	"2008"
2008/03/16	Manhattan	"1"		"80"	knife	D	"2008"
2008/03/15	Queens	"2"		"81"	other	D	"2008"
2008/03/16	Brooklyn	"1"		"82"	gun	D	"2008"
2008/03/15	Manhattan	"1"		"83"	blunt_instrument	D	"2008"
2008/03/15	Brooklyn	"1"		"85"	knife	D	"2008"
2008/03/15	Brooklyn	"1"		"86"	gun	D	"2008"
2008/03/14	Brooklyn	"1"		"87"	gun	L	"2008"
2008/03/20	Brooklyn	"1"		"88"		D	"2008"
2008/03/28	Brooklyn	"1"		"89"	gun	D	"2008"
2008/03/26	Brooklyn	"1"		"90"	gun	L	"2008"
2008/03/16	Manhattan	"1"		"91"	gun	L	"2008"
2008/03/31	Queens	"1"		"93"	gun	D	"2008"
2008/03/31	Brooklyn	"1"		"94"	gun	L	"2008"
2008/03/30	Brooklyn	"1"		"95"	gun	L	"2008"
2008/04/01	Brooklyn	"2"		"96"	knife	L	"2008"
2008/03/29	Brooklyn	"1"		"98"	other	L	"2008"
2008/03/29	Brooklyn	"1"		"100"	gun	D	"2008"
2008/03/25	Brooklyn	"1"		"102"		L	"2008"
2008/03/25	Brooklyn	"1"		"103"	gun	L	"2008"
2008/04/06	Queens	"1"		"105"	knife	D	"2008"
2008/04/05	Brooklyn	"1"		"106"	knife	D	"2008"
2008/04/03	Manhattan	"1"		"107"	gun	L	"2008"
2008/04/03	Staten Island	"1"		"108"	gun	D	"2008"
2008/04/03	Brooklyn	"1"		"111"	gun	D	"2008"
2008/04/12	Manhattan	"1"		"115"	gun	D	"2008"
2008/03/22	Queens	"1"		"116"	gun	D	"2008"
2008/03/23	Queens	"1"		"117"	gun	D	"2008"
2008/04/15	Manhattan	"1"		"118"	gun	D	"2008"
2008/04/11	Manhattan	"1"		"119"		D	"2008"
2008/04/03	Queens	"1"		"120"	other	D	"2008"
2008/04/22	Brooklyn	"1"		"123"	gun	D	"2008"
2008/04/27	Manhattan	"1"		"124"	gun	L	"2008"
2008/04/27	Brooklyn	"1"		"126"	gun	D	"2008"
2008/04/26	Queens	"1"		"127"	gun	D	"2008"
2008/04/26	Brooklyn	"1"		"128"	knife	L	"2008"
2008/05/05	Manhattan	"1"		"129"	gun	D	"2008"
2008/04/25	Manhattan	"1"		"130"	other	D	"2008"
2008/05/10	Queens	"1"		"132"	knife	L	"2008"
2008/05/09	Manhattan	"1"		"133"	gun	D	"2008"
2008/05/09	Brooklyn	"1"		"134"	gun	L	"2008"
2008/05/10	Brooklyn	"1"		"135"	gun	D	"2008"
2008/05/05	Brooklyn	"1"		"136"	knife	D	"2008"
2008/05/01	Brooklyn	"1"		"138"	knife	L	"2008"
2008/04/29	Queens	"1"		"139"	gun	D	"2008"
2008/05/10	Queens	"1"		"142"	knife	D	"2008"
2008/05/12	Brooklyn	"1"		"143"	knife	L	"2008"
2008/05/13	Manhattan	"1"		"144"	knife	D	"2008"
2008/05/16	Brooklyn	"1"		"145"		L	"2008"
2008/05/17	Queens	"1"		"146"	gun	D	"2008"
2008/05/18	Manhattan	"1"		"147"		L	"2008"
2008/05/19	Queens	"1"		"148"	gun	L	"2008"
2008/05/19	Brooklyn	"1"		"149"	gun	D	"2008"
2008/05/20	Manhattan	"1"		"150"	gun	D	"2008"
2008/05/21	Staten Island	"1"		"151"	gun	D	"2008"
2008/05/23	Brooklyn	"1"		"152"	knife	L	"2008"
2008/05/24	Manhattan	"1"		"153"	gun	D	"2008"
2008/05/25	Brooklyn	"1"		"156"	gun	L	"2008"
2008/05/27	Brooklyn	"1"		"160"	knife	D	"2008"
2008/05/26	Brooklyn	"1"		"161"		L	"2008"
2008/05/28	Queens	"1"		"162"		L	"2008"
2008/05/30	Brooklyn	"1"		"163"	gun	D	"2008"
2008/05/31	Manhattan	"1"		"164"	knife	L	"2008"
2008/05/25	Manhattan	"1"		"165"		L	"2008"
2008/06/01	Brooklyn	"1"		"166"	gun	D	"2008"
