ID	NAME	ONEWAY	TYPE
"1"	Shore Pky S		residential
"2"			footway
"3"	Avenue O		residential
"4"	Walsh Ct		residential
"5"			motorway_link
"6"	Avenue Z		residential
"7"	Dank Ct		residential
"8"	Cumberland Walk		footway
"9"	Cumberland Walk		footway
"10"			residential
"11"	Cobek Ct		residential
"12"			footway
"13"	Avenue Y		residential
"14"	Sherman St		residential
"15"	Bouck Ct		residential
"16"	Montgomery Pl		residential
"17"	W 97th St		residential
"18"	Riverside Dr		residential
"19"			service
"20"	West Dr	yes	residential
"21"	Lake St		residential
"22"	S Oxford St		residential
"23"	West 58th St		residential
"24"	Grand Army Plz		residential
"25"	Central Dr		residential
"26"	Avenue N		residential
"27"	E 10th St		residential
"28"			motorway_link
"29"	E 57th St		primary
"30"			footway
"31"			footway
"32"	Washington Park		residential
"33"	E 8th St		residential
"34"			service
"35"	Carlton Ave		residential
"36"	E 2nd St		residential
"37"	Tunnel Entrance St		residential
"38"	Ryder Ave		residential
"39"	Central Park Driveway		residential
"40"	E 7th St		residential
"41"			steps
"42"	W 98th St		residential
"43"	Central Pk-Ctr Dr	yes	residential
"44"	"Central Park-Center Dr; Central Park Driveway"		residential
"45"	Grand Army Plz		residential
"46"			footway
"47"			footway
"48"	Market St		residential
"49"	W 100 St		residential
"50"			residential
"51"	Center Dr		residential
"52"	Willoughby Ave		residential
"53"	Atwater Ct		residential
"54"			footway
"55"	E 58th St		residential
"56"	W 99th St		residential
"57"	W 5th St		residential
"58"	East 10th St		residential
"59"	Pomander Walk		residential
"60"	Gee Ave		residential
"61"	E 4th St		residential
"62"			footway
"63"			footway
"64"	Friel Pl		residential
"65"	Myrtle Ave		residential
"66"	S Oxford St		residential
"67"	7th Ave		residential
"68"	South St		residential
"69"	Colby Ct		residential
"70"	Bokee Ct		residential
"71"	Greene Ave		residential
"72"	Farragut St		residential
"73"			residential
"74"	West Ave		residential
"75"	Paulding St		residential
"76"	Doris C Freedman Pl		residential
"77"	East Dr		residential
"78"	W 100th St		residential
"79"	Whitney Pl		residential
"80"	Cumberland St		residential
"81"	W Lake Dr		residential
"82"	Railroad Ave		residential
"83"	Central Dr		residential
"84"	Nethermead Arches		residential
"85"			footway
"86"	Sea Breeze Ave		residential
"87"	Atlantic Commons		residential
"88"	Sloan Pl		residential
"89"	E 59th St		residential
"90"	W 3rd St		residential
"91"	Stryker St		residential
"92"	E 8th St		residential
"93"	West Dr		residential
"94"	Southgate Ct		residential
"95"	W Brighton Ave		residential
"96"	E 5th St		residential
"97"	W Brighton Ave		residential
"98"	Village Ct		residential
"99"	Adelphi St		residential
"100"	E 3rd St		residential
"101"	Stryker Ct		residential
"102"	Park Cir		residential
