month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202109,37001,"alamance, nc",294995,0.0077,-0.0084,288,0.0909,-0.1933,21.5,0.162162162,-0.402777778,296,-0.1494,0.0423,8,-0.6,-0.6,88,0,-0.1538,378,0.0413,0.2685,136.6063456,-0.0054,0.1987,1490.5,0.043,-0.0814,379870.6579,-0.0188,0.0948,666,0.0622,0.0168,1.3125,-0.0625,0.4778
202109,42079,"luzerne, pa",184500,-0.0261,0.0256,432,-0.0379,-0.1955,35.5,0.075757576,-0.317307692,276,-0.0417,0,4,0,-0.5,120,-0.0909,0,98,0.2099,0.2405,106.3357909,0.0045,0.0988,1770,0.0097,-0.0245,259704.3848,0.017,0.0302,530,0,-0.1396,0.226851852,0.0465,0.0797
202109,42091,"montgomery, pa",407450,-0.0074,-0.1283,1149,-0.0312,-0.1058,46,0.095238095,-0.070707071,920,-0.0456,0.0222,48,0.7143,-0.6129,380,-0.05,0.0106,1947,-0.0794,2.8478,201.2296978,0.004,0.0634,1972,-0.0242,-0.1823,600924.8951,0.0014,-0.1484,3096,-0.0621,0.7286,1.694516971,-0.0888,1.3007
202109,27111,"otter tail, mn",277700,0.0238,0.0289,236,0.0085,-0.2081,52.5,1.142857143,-0.244604317,76,-0.3667,-0.24,0,,,52,0.3,-0.35,162,-0.0357,0.5429,152.2655415,0.0017,0.0661,1943,-0.0229,0.0047,380225.0282,-0.0203,0.0619,398,-0.01,-0.0124,0.686440678,-0.0315,0.3341
202109,18127,"porter, in",348495,0.0253,0.0029,242,0.0852,0.1101,30.5,0.070175439,-0.089552239,168,-0.125,0.05,4,0,0,124,-0.0313,0.6316,142,-0.0207,-0.314,157.4267629,0.0358,0.0895,2198,0.0027,-0.1089,470930.539,0.0465,0.0682,384,0.0435,-0.0965,0.58677686,-0.0634,-0.3628
202109,22099,"st. martin, la",268950,0.4155,0.1796,35,-0.1667,-0.5882,56.5,0.118811881,-0.486363636,12,-0.5,0,0,,,8,-0.3333,-0.5,48,0.1707,0.0435,139.0235074,0.207,0.2249,1957.5,0.0948,0.0142,326045.4266,0.2426,0.3481,83,0,-0.3664,1.371428571,0.3952,0.8303
202109,28067,"jones, ms",199900,0.0023,-0.1393,61,-0.0317,-0.2278,46,0.46031746,-0.414012739,24,-0.4,-0.1429,0,,,16,0,0.3333,61,-0.0758,0.9063,83.29947176,-0.0577,0.0235,2033,0.0556,0.0301,245217.3655,-0.001,-0.0855,122,-0.0543,0.0991,1,-0.0476,0.5949
202109,20169,"saline, ks",134000,0.0477,-0.0694,64,0.1636,-0.1233,16.5,-0.29787234,-0.611764706,52,0.0833,0,0,,,28,-0.125,0.4,9,0.125,-0.9118,105.958079,0.0353,-0.0266,1330.5,0.0302,-0.0712,247873.2881,0.0252,0.1358,73,0.1587,-0.5829,0.140625,-0.0048,-1.2566
202109,48181,"grayson, tx",329500,0.0075,0.2576,298,0.0567,-0.2678,38,0.055555556,-0.232323232,188,-0.1455,0.0682,4,-0.6667,-0.6667,104,-0.0714,-0.2571,315,-0.0708,-0.1274,165.7957245,0.0132,0.2548,1998,-0.0167,0.0304,419640.9963,-0.0964,0.1738,613,-0.0129,-0.2018,1.05704698,-0.1451,0.1701
202109,39109,"miami, oh",221945,0.0137,-0.1567,176,0.1355,-0.1698,30.5,-0.046875,-0.24691358,164,0.1389,0.1389,0,-1,-1,100,0.25,0.0417,310,0.0299,-0.146,112.1979052,0.0094,0.0462,1585,-0.0324,-0.1243,304710.8635,0.031,0.0993,486,0.0658,-0.1548,1.761363636,-0.1806,0.0491
