month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202109,35620,"new york-newark-jersey city, ny-nj-pa",1,607500,0.0083,-0.0279,64132,-0.0024,-0.1358,58,0,0,23780,-0.0183,-0.1264,876,-0.0135,-0.2289,9964,0.0964,-0.275,32877,-0.0145,-0.0469,223.0625,0.0049,0.065,905,-0.0115,-0.1106,1343358.819,0.0228,0.1332,97009,-0.0065,-0.1076,0.512645793,-0.0063,0.0478
202109,31080,"los angeles-long beach-anaheim, ca",2,967500,-0.0072,-0.0276,13762,-0.0368,-0.2146,48,0.11627907,-0.020408163,9056,-0.0683,-0.1286,388,-0.1709,-0.2177,2588,-0.0717,-0.2921,14614,-0.0056,-0.1131,582.1712489,-0.0041,0.0658,1760,-0.004,-0.0573,2373040.547,0.0003,0.0593,28376,-0.021,-0.1654,1.061909606,0.0334,0.1215
202109,16980,"chicago-naperville-elgin, il-in-wi",3,332450,-0.0249,-0.0481,22168,0.0002,-0.1771,38,0.070422535,-0.095238095,14776,-0.0533,-0.0714,236,0.0351,-0.5496,7532,-0.0446,-0.1476,20482,-0.0694,-0.1542,181.1875,-0.0082,0.065,1557.5,-0.0167,-0.0617,490316.1155,-0.0183,-0.0281,42650,-0.0345,-0.1662,0.923944424,-0.0691,0.0251
202109,19100,"dallas-fort worth-arlington, tx",4,396480,0,0.1029,8853,-0.0282,-0.3394,35.5,0.14516129,-0.22826087,7620,-0.1052,-0.016,480,-0.0323,-0.5804,3300,-0.1424,-0.2614,14295,-0.0177,-0.067,185.430673,0.0104,0.1757,2160,-0.0037,-0.0651,563254.2359,-0.0083,0.0364,23148,-0.0217,-0.1941,1.614706879,0.0173,0.4714
202109,26420,"houston-the woodlands-sugar land, tx",5,363210,-0.0028,0.0943,16303,-0.0033,-0.2011,41.5,0.121621622,-0.201923077,9140,-0.1032,-0.0044,1092,0.208,-0.4371,5976,-0.0027,-0.0171,15226,-0.0366,-0.032,165.0584734,0.0079,0.1637,2216.5,-0.0076,-0.0677,521501.0679,-0.0096,0.0541,31529,-0.0197,-0.1275,0.933938539,-0.0323,0.1632
202109,37980,"philadelphia-camden-wilmington, pa-nj-de-md",6,321949.5,0.003,-0.064,10967,0.0033,0.0159,47,0.105882353,0.093023256,7140,-0.0475,0.0125,360,-0.0816,-0.4444,3940,0.0412,0.0884,13905,-0.0602,3.0153,190.1287879,0.0111,0.0707,1575,-0.0122,-0.0938,470334.2322,-0.0066,-0.0788,24872,-0.0332,0.7444,1.267894593,-0.0857,0.9471
202109,47900,"washington-arlington-alexandria, dc-va-md-wv",7,509500,0.0126,-0.0183,10596,0.055,0.1782,34.5,0.045454545,0.232142857,8932,0.0829,0.1065,324,-0.0241,-0.5525,4144,0.1335,0.5556,11555,-0.0807,1.5735,280.5203666,0.0257,0.0794,1765,-0.0186,-0.0676,738277.8675,0.0005,-0.0715,22151,-0.0204,0.6429,1.090505851,-0.1609,0.5912
202109,33100,"miami-fort lauderdale-west palm beach, fl",8,463495,0.017,0.1305,20953,-0.026,-0.4659,61,0.033898305,-0.344086022,9056,-0.0399,-0.1447,908,-0.1202,-0.0502,3536,-0.0264,-0.4626,18815,-0.0347,-0.0356,321.1875,0.0123,0.1535,1340,0.0045,-0.0081,1233225.784,0.0268,0.2121,39768,-0.0301,-0.3229,0.897962106,-0.0081,0.4006
202109,12060,"atlanta-sandy springs-roswell, ga",9,398000,0.0006,0.1228,18416,-0.0053,-0.2792,36,0.058823529,-0.191011236,14348,-0.1104,-0.008,728,-0.1947,-0.7284,6136,0.0856,-0.184,26901,-0.0251,-0.0897,162.0019531,0.0234,0.2062,1842,-0.0022,-0.0699,544691.6696,-0.0061,0.1124,45317,-0.0172,-0.1776,1.46074066,-0.0298,0.3041
202109,14460,"boston-cambridge-newton, ma-nh",10,675000,0.0243,-0.003,6318,0.0837,-0.187,29.5,-0.048387097,-0.119402985,6296,0.2955,-0.0501,112,-0.2222,-0.3333,1808,0.2316,-0.2859,1768,-0.0365,-0.2432,390.9927081,0.0095,0.0457,1700,-0.0111,-0.0316,1062882.551,-0.0153,0.0289,8086,0.0549,-0.2,0.279835391,-0.0349,-0.0208
202109,41860,"san francisco-oakland-hayward, ca",11,993000,0.0005,-0.0424,4708,0.0764,-0.193,29.5,0,-0.157142857,4712,0.0719,-0.0531,160,0.2121,0.1429,976,0,-0.3711,4775,-0.0394,-0.1395,677.8535535,0.0182,0.015,1519,-0.0075,0.005,1697383.572,0.0344,0.0348,9483,0.0148,-0.1669,1.014231096,-0.1223,0.0631
202109,19820,"detroit-warren-dearborn, mi",12,252500,-0.0561,-0.0748,8056,0.0236,-0.1063,30,0.25,-0.2,5912,-0.1171,0.0144,168,-0.2364,-0.5333,2976,0.029,0.042,2526,0.0218,-0.1899,164.8416737,-0.0225,0.0694,1520,-0.0291,-0.0963,374700.4338,-0.0324,-0.0118,10582,0.0232,-0.1278,0.313555114,-0.0005,-0.0324
202109,38060,"phoenix-mesa-scottsdale, az",13,475000,0,0.1489,6104,0.0456,-0.1505,32,0.084745763,-0.135135135,6548,-0.0079,0.0187,400,0.0753,-0.5595,2736,0.0286,-0.0215,10830,0.0072,-0.1347,251.7799029,0.0072,0.1942,1994.5,-0.0062,-0.0397,753117.8488,-0.0055,0.056,16934,0.0207,-0.1404,1.774246396,-0.0677,0.0323
202109,42660,"seattle-tacoma-bellevue, wa",14,677450,0.0036,0.0784,3724,-0.0043,-0.3846,29.5,0.035087719,-0.157142857,4988,-0.0235,-0.1268,104,-0.1034,-0.6286,1144,-0.0978,-0.4245,7241,-0.0559,-0.0827,378.5707214,0.0106,0.0709,1840,0.0384,0.0049,928666.0201,0.0141,0.0399,10965,-0.039,-0.2137,1.944414608,-0.1064,0.6398
202109,33460,"minneapolis-st. paul-bloomington, mn-wi",15,350000,-0.014,-0.0127,7805,0.0564,-0.0832,33,0.137931034,-0.070422535,6116,-0.0323,-0.0317,236,0.4048,-0.398,2664,0.0882,0.1583,7612,-0.0979,-0.1032,188.8890986,0.0045,0.0798,1877,-0.0118,-0.0643,458480.2542,-0.0195,-0.041,15417,-0.0258,-0.0932,0.975272261,-0.1669,-0.0218
202109,40140,"riverside-san bernardino-ontario, ca",16,540000,0,0.1538,6678,0.036,-0.0357,35.5,0.075757576,-0.134146341,5536,-0.0642,-0.0267,356,-0.0532,-0.1759,1936,0.0756,0.3407,9008,0.0119,-0.1991,290.0562079,0.0035,0.1955,1876.5,0.0027,-0.052,693202.543,-0.0206,0.0176,15686,0.022,-0.1369,1.348906858,-0.0321,-0.2754
202109,45300,"tampa-st. petersburg-clearwater, fl",17,362500,0.0072,0.2083,4869,-0.0104,-0.382,37,0.088235294,-0.26,4344,-0.0935,-0.0347,304,0.1014,-0.7276,2140,0.0636,-0.2496,9812,-0.0026,-0.0685,218.4367369,0.0164,0.2923,1633.5,-0.0006,-0.0495,557463.0047,-0.0115,0.1623,14681,-0.0052,-0.2026,2.015198193,0.0156,0.6784
202109,41740,"san diego-carlsbad, ca",18,827000,-0.003,0.0654,3817,-0.0575,-0.0086,42,0.090909091,0.2,2912,-0.125,-0.1229,136,-0.1905,0.0303,904,-0.0738,-0.0776,5913,-0.0156,0.164,502.5986947,0.0053,0.0749,1737,-0.0017,0.0131,1576271.767,0.0116,0.1004,9730,-0.0325,0.0896,1.549122347,0.0659,0.2296
202109,41180,"st. louis, mo-il",19,250000,0.0004,0,4808,-0.0113,-0.1493,47,0.13253012,-0.182608696,3244,-0.0979,0.0176,164,0.1714,-0.6846,1616,0.0359,-0.0942,6041,-0.0733,-0.101,142.1444215,0.006,0.0827,1678.5,-0.0109,-0.0767,341172.8465,-0.0093,-0.0024,10849,-0.0468,-0.1231,1.256447587,-0.0841,0.0675
202109,19740,"denver-aurora-lakewood, co",20,599925,0,0.1493,3841,-0.007,-0.3024,24.5,0.113636364,-0.319444444,4252,-0.0593,-0.0517,168,-0.0455,-0.567,1748,-0.0046,-0.2668,6308,-0.0374,-0.236,277.9975372,0.0112,0.1377,2223,-0.0054,0.0244,851748.0353,-0.002,0.1253,10149,-0.0261,-0.2626,1.642280656,-0.0519,0.1426
