month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202109,vermont,vt,359450,0.027,0.1062,1569,-0.0694,-0.4034,58.5,0.073394495,-0.164285714,728,-0.1122,-0.2448,24,0,-0.6,356,-0.0111,-0.2583,1154,0.0167,-0.3345,191.7425776,0.0095,0.1871,1986,0.0164,-0.0185,560009.1025,0.0269,0.1331,2723,-0.0347,-0.376,0.735500319,0.0623,0.0762
202109,maine,me,336500,0.0045,0.1282,3533,-0.0444,-0.2593,47.5,0.217948718,-0.194915254,1900,-0.1171,-0.1395,60,0.5,-0.25,948,-0.0989,0.058,1469,0.0194,-0.0802,200.4736474,0.0026,0.1693,1664,-0.0042,-0.0168,490836.1641,-0.0012,0.0828,5002,-0.0265,-0.2144,0.415793943,0.026,0.081
202109,wisconsin,wi,275000,-0.0175,0.0389,11254,0.0303,-0.1324,43,0.131578947,-0.156862745,6692,-0.0932,0.022,124,-0.1143,-0.3542,3504,0.0709,0.1173,9212,-0.0348,-0.1081,151.2219157,3.00E-04,0.1054,1689,-0.0065,-0.0466,364333.377,-0.0168,0.0304,20466,0,-0.1216,0.818553403,-0.0552,0.0224
202109,connecticut,ct,459250,-0.0212,0.1901,7719,-0.0283,-0.5209,49.5,0.178571429,0.03125,4396,-0.055,-0.2649,100,-0.5098,-0.7368,2136,0.0533,-0.186,9558,-0.0539,57.2805,235.9194979,-0.0084,0.2771,1927.5,-0.0062,-0.0791,1060585.812,-0.0083,0.3065,17277,-0.0426,0.0616,1.238243296,-0.0334,1.2281
202109,new york,ny,574000,0.0088,0.0132,59417,7.00E-04,-0.1397,70,-0.007092199,0.029411765,20192,-0.0289,-0.0885,796,0.0815,-0.1076,9940,0.1489,-0.2391,37030,0.003,-0.1675,226.53125,-3.00E-04,0.0595,1307,-0.018,-0.0857,1347205.599,0.0193,0.1469,96447,0.0016,-0.1506,0.62322231,0.0014,-0.0208
202109,idaho,id,532500,-0.0166,0.2831,5429,0.0562,0.4481,36,0.142857143,-0.152941176,3332,-0.0856,0.4875,152,0.7273,-0.696,2876,0.0894,2.8245,5724,-0.0105,0.0138,269.6104399,-0.0098,0.3206,2112,-0.0017,-0.019,833850.3514,-0.0048,0.1122,11153,0.0209,0.1871,1.054337815,-0.0711,-0.4517
202109,washington,wa,575000,0,0.1501,9271,0.0409,-0.2871,33,0.118644068,-0.142857143,10064,-0.0187,-0.0312,780,-0.1522,-0.2883,3236,0.0452,-0.166,15408,-0.0381,-0.085,295.4443804,-0.0027,0.1426,1939,0.0333,0.0083,782061.0773,8.00E-04,0.0983,24679,-0.0099,-0.1731,1.661956639,-0.1365,0.3671
202109,colorado,co,575000,-0.007,0.1275,12382,-0.0075,-0.2945,37,0.104477612,-0.274509804,9372,-0.0947,-0.0456,428,-0.0531,-0.5046,4224,0.0193,-0.1294,13598,-0.0242,-0.2315,264.0499872,0.0024,0.1163,2152,-0.011,-0.0258,1157430.825,-0.0298,0.1,25980,-0.0163,-0.2629,1.098207075,-0.0187,0.09
202109,south dakota,sd,279900,0.0016,0.1198,2180,-0.0311,-0.2302,41,0.123287671,-0.196078431,956,-0.07,-0.0808,40,0.1111,-0.2308,328,0.0123,-0.2115,955,-0.0052,-0.001,157.3721017,0.0131,0.1938,1762,-0.0051,-0.0775,364545.5707,0.0186,0.1266,3135,-0.0234,-0.1724,0.438073394,0.0114,0.1005
202109,north dakota,nd,254950,-0.019,0.0475,2020,-0.0015,-0.2681,59.5,0.072072072,-0.084615385,716,-0.0725,-0.2217,24,-0.3333,-0.25,532,-0.0362,-0.2267,1138,-0.038,-0.1158,122.3052464,-0.0144,0.0689,2130.5,9.00E-04,-0.004,301181.354,-0.0154,0.061,3158,-0.015,-0.2197,0.563366337,-0.0214,0.0971
202109,texas,tx,350000,2.00E-04,0.1262,52997,0.0047,-0.2341,40.5,0.14084507,-0.25,32180,-0.1174,0.0359,2868,0.2557,-0.4816,18216,-0.0236,-0.0471,53408,-0.0188,-0.063,167.0820312,0.0104,0.171,2074.5,-0.006,-0.0521,499207.3269,-0.0029,0.0848,106405,-0.0072,-0.1568,1.007755156,-0.0241,0.1841
202109,massachusetts,ma,632000,0.0112,-0.0163,9856,0.064,-0.2101,33,-0.043478261,-0.142857143,8676,0.1507,-0.0731,168,-0.0667,-0.3538,2808,0.1779,-0.2156,3482,-0.0244,-0.262,355.4615771,0.0087,0.0485,1742.5,-0.0099,-0.055,1113389.005,-0.0214,-0.0026,13338,0.0394,-0.2244,0.353287338,-0.032,-0.0248
202109,kentucky,ky,249000,-0.0036,0.0379,7176,0.0452,-0.0656,40.5,0.094594595,-0.235849057,4136,-0.0993,0.0704,100,-0.1379,-0.569,2328,0.0374,0.1149,9006,-0.031,-0.032,129.6605286,0.0029,0.1307,1791,-0.0127,-0.0591,339123.6683,-0.0126,0.033,16182,0.0014,-0.0472,1.255016722,-0.0986,0.0436
