month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202109,28215,"charlotte, nc",,303450,-0.0576,0.0839,54,-0.1,-0.2703,26,-0.018867925,-0.133333333,64,0.0667,0,4,-0.5,-0.875,32,0.6,3,99,-0.2016,0.1512,170.749451,0.0275,0.1556,1678.5,-0.0703,-0.0309,316056.9666,-0.0333,0.0829,153,-0.1685,-0.0437,1.833333333,-0.2333,0.6712
202109,38261,"union city, tn",,179750,-0.1628,0.0271,21,0.3125,-0.1923,46,0.210526316,-0.551219512,8,-0.3333,0,0,,,4,0,-0.5,16,-0.3333,0.0667,82.03749645,-0.1562,-0.0279,1930.5,-0.1213,-0.0883,223335.7143,-0.1323,0.1406,37,-0.075,-0.0976,0.761904762,-0.7381,0.185
202109,60401,"beecher, il",,309949.5,-0.1206,0.5156,26,0.1304,0.4444,40.5,0.557692308,-0.4,16,0,1,0,,,20,0.6667,4,22,0.2222,0.4667,146.1958333,-0.0694,0.3324,2150,-0.0863,0.1037,393294.7581,-0.0935,0.6704,48,0.1707,0.4545,0.846153846,0.0635,0.0128
202109,60062,"northbrook, il",,554000,-0.0473,-0.0399,155,-0.0549,-0.428,47.5,0.158536585,-0.095238095,80,0.25,-0.2857,0,-1,,40,-0.4118,-0.5,143,-0.1006,-0.1437,230.9822913,-0.0336,0.0971,2297.5,-0.0427,-0.1011,723667.4371,-0.0142,-0.0581,298,-0.0774,-0.3196,0.922580645,-0.0469,0.3063
202109,19805,"wilmington, de",*,147450,0.0536,,94,0.0444,,49,0.042553191,,60,0.0714,0.5,0,,-1,36,0.125,2,102,-0.1207,2.5172,118.7791847,0.0503,0.0262,1212.5,0.0104,-0.1182,167792.5311,0.0168,-0.2007,196,-0.0485,1.8,1.085106383,-0.2038,0.3778
202109,27973,"shawboro, nc",,394900,-0.0001,0.2908,31,-0.0313,0.8235,163.5,0.206642066,1.069620253,4,,,0,-1,,0,,,6,0.2,-0.1429,159.3609023,0.0051,0.0426,1688,0.2827,-0.0648,373527.2727,0.0061,0.1476,37,0,0.5417,0.193548387,0.0373,-0.2182
202109,13045,"cortland, ny",,144450,-0.0335,0.0744,51,-0.0556,-0.427,62.5,0.068376068,-0.600638978,12,-0.6667,0,0,,,20,0.6667,0.25,90,-0.011,0.2162,100.4212373,-0.0614,0.1107,1299,-0.0685,-0.0903,154158.9488,-0.0852,-0.0888,141,-0.0276,-0.135,1.764705882,0.0795,0.9332
202109,97374,"scio, or",*,509950,0.1087,,13,0.8571,,18,-0.555555556,,12,0.5,,0,,,4,0,,14,0.2727,0.2727,317.071525,0.1609,0.2335,1696,0.0144,-0.0974,590392.8571,0.2998,0.0583,27,0.5,0.4211,1.076923077,-0.4945,-0.2981
202109,45209,"cincinnati, oh",,484500,0.0791,0.4066,36,0.0909,0.125,69.5,0.112,0.299065421,24,1,1,0,,,12,0,-0.25,31,-0.225,-0.2051,196.8272229,0.0402,0.02,1154.5,-0.0216,-0.0705,510717.1542,0.0364,0.2671,67,-0.0822,-0.0563,0.861111111,-0.351,-0.3576
202109,30022,"alpharetta, ga",,559950,0.0182,-0.0386,150,-0.0854,-0.4,35.5,0.183333333,-0.164705882,116,-0.2368,-0.275,0,-1,-1,72,-0.1,0.2,216,0.0537,-0.2678,182.1890932,0.0271,0.1761,2861.5,0.0424,-0.1607,829272.3248,0.0605,0.0998,366,-0.0081,-0.3284,1.44,0.19,0.26
202109,36527,"daphne, al",*,378900,-0.0626,0.0714,82,0.2424,-0.506,27.5,0.222222222,,48,-0.2,0.3333,0,,-1,28,-0.125,-0.125,87,-0.1212,0,154.5089291,0.0177,0.1379,2486,-0.0366,-0.0414,412150.4464,-0.0526,0.0539,169,0.0242,-0.332,1.06097561,-0.439,0.5369
202109,54904,"oshkosh, wi",*,354900,0.029,,29,0.2083,,43,-0.173076923,,20,0,0.6667,0,,,4,-0.5,-0.5,43,-0.0444,-0.2182,171.522146,0.0563,0.0878,1925,-0.0691,-0.2173,419166.2771,0.0589,-0.1332,72,0.0435,-0.0886,1.482758621,-0.3922,-0.8089
202109,93950,"pacific grove, ca",,1302500,-0.1317,-0.1258,14,-0.0667,-0.4167,38,0.013333333,-0.315315315,8,-0.5,-0.5,0,,-1,4,,0,17,-0.32,-0.5641,979.5514512,0.0055,-0.0032,1400,0.0025,-0.3069,1480145.607,-0.1158,-0.2445,31,-0.225,-0.5079,1.214285714,-0.4524,-0.4107
202109,60118,"dundee, il",,362500,0.0858,0.1069,27,-0.3415,-0.3571,40.5,0.173913043,-0.319327731,20,-0.2857,0,0,,,12,0,0,55,0.1224,0.1702,160.468465,0.0473,0.2223,2184,0.0823,-0.0896,481520.0356,0.1326,0.4213,82,-0.0889,-0.0787,2.037037037,0.8419,0.918
202109,57064,"tea, sd",,337500,0.0052,0.2367,46,-0.0612,0.0698,48.5,-0.02020202,0.054347826,4,-0.6667,-0.8,0,,,0,,,0,,,192.5343811,0,0.3164,1642.5,-0.0147,-0.1119,358591.0516,0.0007,0.1819,46,-0.0612,0.0698,0,0,0
202109,85742,"tucson, az",,420417.5,0.0106,0.0857,49,0.1136,0.0889,32,0.066666667,-0.209876543,48,-0.0769,0.7143,0,,,20,0.25,0.25,102,0.0408,-0.1969,210.3424278,0.0181,0.1754,1984.5,-0.0193,-0.162,503473.1875,-0.0346,0.0727,151,0.0634,-0.1221,2.081632653,-0.1456,-0.7406
202109,18078,"schnecksville, pa",,520150,-0.0358,0.1892,20,0.6667,0.3333,26.5,-0.220588235,-0.569105691,16,1,0.3333,0,,,4,0,0,7,0.75,6,199.9996667,0.0408,0.2095,2519,-0.021,0.0092,467270.6957,-0.0697,0.065,27,0.6875,0.6875,0.35,0.0167,0.2833
202109,49453,"saugatuck, mi",,757000,0.1257,0.4085,16,-0.2727,-0.619,83,0.064102564,0.177304965,4,-0.5,-0.6667,0,,,4,0,-0.6667,19,0.7273,-0.4571,353.2811414,0.0146,0.1373,2550,-0.0097,0.0658,975608.8235,-0.0362,0.2555,35,0.0606,-0.5455,1.1875,0.6875,0.3542
202109,20640,"indian head, md",,334450,-0.114,0.3965,13,0.4444,-0.0714,36,-0.064935065,0.263157895,8,1,0,0,,,4,,0,19,-0.2963,0.9,136.3918153,-0.2179,-0.0343,1816,-0.034,0.1231,396113.8004,0.047,0.6586,32,-0.1111,0.3333,1.461538462,-1.5385,0.7473
202109,95367,"riverbank, ca",*,514950,0.0509,,18,-0.1818,,34,0.307692308,,20,-0.2857,0.25,0,,,4,-0.5,-0.5,41,-0.1277,0.0513,257.9742218,-0.0055,0.1453,1928.5,0.0223,0.007,544537.4778,0.0475,0.1991,59,-0.1449,0.2041,2.277777778,0.1414,-1.6222
202109,2081,"walpole, ma",,526205,-0.0291,0.0063,23,-0.1154,-0.4103,35,0.891891892,-0.278350515,16,-0.4286,-0.4286,0,,,8,1,-0.5,5,-0.5,-0.4444,342.6556535,0.0353,0.1543,1470,-0.1503,-0.1901,582275.6561,-0.0153,-0.0936,28,-0.2222,-0.4167,0.217391304,-0.1672,-0.0134
202109,19010,"bryn mawr, pa",,769000,-0.0471,-0.1793,43,0.075,-0.1731,56.5,0.036697248,-0.169117647,28,0.1667,0.75,0,,,16,0.3333,1,40,0.1429,1.6667,264.5950709,0.0333,0.0906,2458,-0.1501,-0.2681,1105326.011,-0.0578,-0.0874,83,0.1067,0.2388,0.930232558,0.0552,0.6418
202109,78629,"gonzales, tx",,282999.5,-0.0943,0.0511,42,-0.0455,-0.087,49.5,0.455882353,-0.307692308,0,-1,-1,0,,,8,-0.3333,,19,0,0.0556,139.5089286,0.0111,0.0044,1992.5,0.0161,0.0556,310277.8309,0.0394,-0.1417,61,-0.0317,-0.0469,0.452380952,0.0206,0.0611
202109,98563,"montesano, wa",,437500,-0.1745,0.3298,18,0.6364,0.2857,42.5,0.574074074,-0.227272727,8,0,,0,,,8,,1,9,-0.3077,0.125,233.3221962,-0.0003,0.3413,2000,-0.0385,0.0121,452772.5,-0.1062,0.1715,27,0.125,0.2273,0.5,-0.6818,-0.0714
202109,11212,"brooklyn, ny",,599000,0.017,0.0426,16,-0.3043,-0.1111,66.5,0.198198198,-0.213017751,4,0,0,0,,,0,-1,-1,17,0.0625,0.1333,356.8444976,0.098,1.6275,1116,0,0,755279.8298,0.1117,0.1847,33,-0.1538,0,1.0625,0.3668,0.2292
202109,94551,"livermore, ca",,899000,-0.0121,0.1245,46,-0.0213,0.4839,24.5,0.324324324,-0.196721311,60,-0.25,0.1538,0,-1,,16,1,3,72,0.125,-0.1818,605.0247436,-0.0311,0.2646,1506,0.0087,-0.1165,1057100.425,0.0444,0.2073,118,0.0631,-0.0084,1.565217391,0.2035,-1.2735
202109,45242,"cincinnati, oh",,777500,0.0097,0.037,70,0.0294,-0.1026,65,0.238095238,-0.202453988,28,-0.125,0,0,,,16,0,-0.3333,49,-0.1695,-0.1091,189.6269202,-0.0374,0.3206,1656,0.0788,-0.1503,819526.008,0.0396,0.0361,119,-0.063,-0.1053,0.7,-0.1676,-0.0051
202109,78599,"weslaco, tx",*,219300,0.0443,0.0698,24,0.2632,,62.5,0.76056338,-0.513618677,4,0,0,0,,,0,-1,,14,2.5,6,121.3346815,0,0.1067,1957,0.0324,-0.1699,382128.7826,-0.0211,0.5204,38,0.6522,0.4074,0.583333333,0.3728,0.5033
202109,48420,"clio, mi",*,254900,0,,63,0.0161,,197,-0.167019027,,16,-0.5556,-0.5,0,,,16,0.3333,0.3333,33,0.0313,-0.34,212.4166667,0,0.8172,1200,0,-0.2016,242088.6029,-0.0309,0.1361,96,0.0213,0.1034,0.523809524,0.0077,-0.8275
202109,88030,"deming, nm",,175000,0.0003,0.0975,66,-0.0704,-0.2143,80.5,0.229007634,-0.222222222,12,0,-0.25,0,,,12,0.5,2,21,-0.087,-0.16,95.99358974,-0.0406,0.0705,1790,0.0592,0.0249,193031.8144,0.0264,0.0903,87,-0.0745,-0.2018,0.318181818,-0.0058,0.0206
