week_end_date,geo_country,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
10/2/2021,usa,8.6%,-22.5%,-8,-14.8%,-8.3%,1.8%,-8.6%,0.9%
9/25/2021,usa,8.6%,-21.8%,-10,-18.5%,-4.9%,2.1%,-5.2%,1.0%
9/18/2021,usa,8.6%,-21.6%,-10,-18.9%,-1.9%,2.4%,-6.1%,1.0%
9/11/2021,usa,9.7%,-22.3%,-12,-22.2%,1.6%,2.8%,-7.2%,0.8%
9/4/2021,usa,8.3%,-23.6%,-12,-21.8%,-8.2%,2.0%,-11.9%,0.7%
8/28/2021,usa,8.6%,-23.6%,-15,-26.8%,1.2%,3.0%,-10.2%,0.7%
8/21/2021,usa,8.6%,-24.7%,-17,-30.4%,1.8%,3.3%,-9.0%,0.9%
8/14/2021,usa,8.6%,-26.1%,-18,-32.1%,5.8%,4.0%,-11.4%,0.8%
8/7/2021,usa,8.6%,-27.8%,-17,-30.4%,2.9%,4.0%,-14.1%,0.7%
7/31/2021,usa,8.9%,-29.2%,-18,-31.6%,5.4%,4.4%,-14.4%,0.8%
7/24/2021,usa,10.3%,-30.9%,-19,-33.3%,8.9%,5.1%,-20.7%,0.5%
7/17/2021,usa,10.3%,-33.0%,-21,-35.6%,9.1%,5.5%,-25.8%,0.2%
7/10/2021,usa,10.3%,-35.4%,-23,-38.3%,5.3%,5.5%,-37.6%,-0.5%
7/3/2021,usa,10.1%,-39.0%,-23,-37.1%,-2.9%,4.9%,-31.7%,0.3%
6/26/2021,usa,11.6%,-39.3%,-28,-43.1%,11.6%,6.9%,-39.5%,-0.4%
6/19/2021,usa,12.2%,-42.0%,-33,-47.1%,4.0%,6.6%,-44.8%,-0.6%
6/12/2021,usa,13.2%,-44.0%,-36,-49.3%,7.0%,7.4%,-47.2%,-0.7%
6/5/2021,usa,13.6%,-45.8%,-35,-47.9%,-1.2%,6.9%,-54.7%,-1.2%
5/29/2021,usa,13.1%,-48.5%,-35,-47.3%,9.3%,7.8%,-51.3%,-0.6%
5/22/2021,usa,14.9%,-49.3%,-34,-47.2%,9.0%,8.5%,-55.7%,-1.1%
5/15/2021,usa,15.5%,-50.9%,-32,-45.1%,8.2%,8.6%,-56.8%,-1.0%
5/8/2021,usa,15.2%,-52.0%,-28,-40.6%,5.4%,8.4%,-58.5%,-1.0%
5/1/2021,usa,15.4%,-52.0%,-25,-36.8%,17.6%,9.2%,-54.5%,-0.6%
4/24/2021,usa,15.4%,-52.9%,-24,-36.4%,28.9%,9.6%,-52.1%,-0.3%
4/17/2021,usa,17.2%,-52.9%,-21,-32.8%,39.7%,10.2%,-50.4%,-0.2%
4/10/2021,usa,18.7%,-53.0%,-18,-29.5%,36.5%,10.0%,-50.0%,-0.2%
4/3/2021,usa,17.2%,-53.7%,-12,-20.0%,-7.5%,6.7%,-58.4%,-0.6%
3/27/2021,usa,17.2%,-52.7%,-9,-15.3%,6.3%,7.7%,-51.3%,-0.2%
3/20/2021,usa,15.6%,-52.1%,-8,-13.6%,-14.4%,6.0%,-64.0%,-1.4%
3/13/2021,usa,14.2%,-51.2%,-7,-11.7%,-23.6%,4.8%,-67.6%,-2.0%
3/6/2021,usa,14.3%,-50.6%,-6,-9.5%,-26.6%,4.3%,-66.7%,-1.9%
2/27/2021,usa,14.0%,-49.6%,-6,-8.2%,-26.9%,3.5%,-67.3%,-1.9%
2/20/2021,usa,14.5%,-49.2%,-7,-9.1%,-35.2%,2.1%,-69.3%,-2.0%
2/13/2021,usa,12.9%,-47.8%,-11,-13.6%,-23.4%,3.5%,-65.0%,-1.7%
2/6/2021,usa,12.9%,-46.9%,-10,-12.0%,-28.7%,2.7%,-60.6%,-1.4%
1/30/2021,usa,13.3%,-44.6%,-9,-10.6%,-20.8%,3.0%,-56.3%,-1.1%
1/23/2021,usa,14.4%,-43.4%,-9,-10.6%,-20.8%,2.8%,-54.0%,-1.0%
1/16/2021,usa,15.0%,-42.6%,-9,-10.6%,-21.6%,2.7%,-52.2%,-0.9%
1/9/2021,usa,15.4%,-41.2%,-10,-11.6%,-25.5%,1.9%,-51.4%,-1.0%
1/2/2021,usa,12.5%,-41.2%,-11,-12.8%,-35.3%,0.5%,-58.1%,-1.1%
12/26/2020,usa,13.3%,-40.7%,-14,-16.5%,6.9%,2.1%,-38.9%,0.0%
