week_end_date,cbsa_code,cbsa_title,hh_rank,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
10/2/2021,35620,"new york-newark-jersey city, ny-nj-pa",1,-3.8%,-18.3%,1,1.7%,-38.3%,-2.2%,-35.9%,-0.9%
10/2/2021,31080,"los angeles-long beach-anaheim, ca",2,-2.0%,-23.9%,1,2.0%,-20.5%,0.5%,-30.9%,-0.4%
10/2/2021,16980,"chicago-naperville-elgin, il-in-wi",3,-4.5%,-19.5%,-2,-4.7%,-7.9%,1.5%,-17.7%,0.0%
10/2/2021,19100,"dallas-fort worth-arlington, tx",4,11.3%,-34.6%,-11,-22.4%,-9.3%,4.3%,-19.7%,1.2%
10/2/2021,37980,"philadelphia-camden-wilmington, pa-nj-de-md",5,-8.5%,-3.1%,3,6.4%,1.0%,0.5%,13.1%,1.2%
10/2/2021,47900,"washington-arlington-alexandria, dc-va-md-wv",6,-2.7%,10.2%,0,0.0%,1.0%,-1.3%,48.1%,2.3%
10/2/2021,26420,"houston-the woodlands-sugar land, tx",7,9.2%,-21.2%,-8,-15.1%,-17.2%,0.5%,-5.7%,1.2%
10/2/2021,33100,"miami-fort lauderdale-west palm beach, fl",8,14.6%,-47.1%,-31,-33.3%,-18.2%,3.3%,-45.9%,-0.1%
10/2/2021,12060,"atlanta-sandy springs-roswell, ga",9,12.4%,-27.4%,-8,-17.4%,0.3%,4.1%,-19.8%,0.3%
10/2/2021,14460,"boston-cambridge-newton, ma-nh",10,0.0%,-19.9%,-8,-25.0%,-4.4%,2.5%,-19.8%,-0.2%
10/2/2021,41860,"san francisco-oakland-hayward, ca",11,-5.1%,-23.6%,-5,-14.3%,-12.9%,2.0%,-34.7%,-0.8%
10/2/2021,19820,"detroit-warren-dearborn, mi",12,-6.1%,-6.8%,-7,-18.4%,6.7%,1.7%,1.5%,0.5%
10/2/2021,38060,"phoenix-mesa-scottsdale, az",13,15.9%,-16.8%,-3,-8.1%,-7.3%,1.7%,-7.0%,0.8%
10/2/2021,42660,"seattle-tacoma-bellevue, wa",14,8.6%,-42.6%,-1,-2.9%,-19.9%,5.3%,-39.3%,-0.1%
10/2/2021,33460,"minneapolis-st. paul-bloomington, mn-wi",15,0.0%,-8.7%,-1,-2.7%,-11.2%,-0.3%,6.5%,1.1%
10/2/2021,40140,"riverside-san bernardino-ontario, ca",16,17.8%,-5.2%,-4,-9.8%,3.7%,1.3%,28.0%,1.5%
10/2/2021,45300,"tampa-st. petersburg-clearwater, fl",17,18.0%,-38.9%,-9,-18.0%,-14.3%,4.5%,-21.9%,1.5%
10/2/2021,41740,"san diego-carlsbad, ca",18,5.0%,-25.2%,35,350.0%,-21.3%,0.7%,-40.0%,-1.3%
10/2/2021,41180,"st. louis, mo-il",19,-2.0%,-19.2%,-6,-10.7%,-14.1%,0.7%,-19.8%,-0.1%
10/2/2021,19740,"denver-aurora-lakewood, co",20,19.8%,-28.5%,-9,-25.0%,-1.9%,5.0%,-20.5%,0.4%
10/2/2021,12580,"baltimore-columbia-towson, md",21,-6.9%,-6.5%,-2,-4.8%,-4.7%,0.3%,27.0%,2.5%
