scalerank,natscale,labelrank,name,namepar,namealt,diffascii,nameascii,adm0cap,capalt,capin,worldcity,megacity,sov0name,sov_a3,adm0name,adm0_a3,adm1name,iso_a2,note,latitude,longitude,changed,namediff,diffnote,pop_max,pop_min,pop_other,rank_max,rank_min,geonameid,meganame,ls_name,ls_match,checkme,featureclass
"10","1","5",Bombo,,,"0",Bombo,"0","0",,"0","0",Uganda,UGA,Uganda,UGA,Bamunanika,UG,,0.58329910562,32.5332995249,"4","1",Added missing admin-1 capital. Changed feature to Admin-0 region capital.,"75000","21000","0","8","7","-1",,,"0","0",Admin-1 region capital
"10","1","5",Fort Portal,,,"0",Fort Portal,"0","0",,"0","0",Uganda,UGA,Uganda,UGA,Kabarole,UG,,0.67100412113,30.275001616,"4","1",Added missing admin-1 capital. Changed feature to Admin-0 region capital. Population from GeoNames.,"42670","42670","0","7","7","233476",,,"0","0",Admin-1 region capital
"10","1","3",Potenza,,,"0",Potenza,"0","0",,"0","0",Italy,ITA,Italy,ITA,Basilicata,IT,,40.6420021301,15.7989964956,"4","1",Added missing admin-1 capital. Population from GeoNames.,"69060","69060","0","8","8","3170027",,,"0","0",Admin-1 region capital
"10","1","3",Campobasso,,,"0",Campobasso,"0","0",,"0","0",Italy,ITA,Italy,ITA,Molise,IT,,41.5629991186,14.6559965589,"4","1",Added missing admin-1 capital. Population from GeoNames.,"50762","50762","0","8","8","3180991",,,"0","0",Admin-1 region capital
"10","1","3",Aosta,,,"0",Aosta,"0","0",,"0","0",Italy,ITA,Italy,ITA,Valle d'Aosta,IT,,45.7370010671,7.31500259571,"4","1",Added missing admin-1 capital. Population from GeoNames. Changed feature class.,"34062","34062","0","7","7","3182997",,,"0","0",Admin-1 region capital
"10","1","8",Mariehamn,,,"0",Mariehamn,"0","0",,"0","0",Finland,ALD,Aland,ALD,Finström,AX,,60.0969961849,19.9490044719,"4","1",Added missing admin-1 capital. Changed feature to Admin-0 region capital. Population from GeoNames.,"10682","10682","0","6","6","3041732",,,"0","0",Admin-0 region capital
"10","1","0",Ramallah,,,"0",Ramallah,"0","0",,"0","0",Indeterminate,PSE,Palestine,PSE,,PS,,31.9029447514,35.2062093782,"4","0",Added place. Population from GeoNames.,"24599","24599","0","7","7","282239",,,"0","0",Admin-0 region capital
"8","10","3",Vatican City,,,"0",Vatican City,"1","0",,"1","0",Vatican (Holy Sea),VAT,Vatican (Holy Sea),VAT,Lazio,VA,,41.9000122264,12.4478083889,"4","0",Changed scale rank.,"832","832","562430","2","2","6691831",,Vatican City,"1","0",Admin-0 capital
"8","10","3",Poitier,,Poitiers,"0",Poitier,"0","0",,"0","0",French Republic,FRA,France,FRA,Poitou-Charentes,FR,,46.5832922557,0.33327652854,"4","0",Changed feature class.,"85960","84807","80866","8","8","2986495",,Poitier,"1","0",Admin-1 region capital
"8","10","3",Clermont-Ferrand,,,"0",Clermont-Ferrand,"0","0",,"0","0",French Republic,FRA,France,FRA,Auvergne,FR,,45.7799821158,3.08000809593,"4","0",Changed feature class.,"233050","138681","223592","10","9","3024635",,Clermont-Ferrand,"1","0",Admin-1 region capital
"8","10","3",Besancon,,,"0",Besancon,"0","0",,"0","0",French Republic,FRA,France,FRA,Franche-Comté,FR,,47.2299969677,6.03000890974,"4","0",Changed feature class.,"128426","119960","117010","9","9","3033123",,Besancon,"1","0",Admin-1 region capital
"8","10","0",Artigas Base,Uruguay,,"0",Artigas Base,"0","0",,"0","0",Indeterminate,ATA,Antarctica,ATA,,AQ,,-62.17388669198,-58.86386407234,"0","0",New in 2.0,"60","9","0","1","1","-1",,,"0","0",Scientific station
"7","20","6",Chipata,,,"0",Chipata,"0","0",,"0","0",Zambia,ZMB,Zambia,ZMB,Eastern,ZM,,-13.6295698864,32.640012572,"4","0",Changed feature to Admin-0 region capital.,"85963","78947","78947","8","8","918702",,Chipata,"1","0",Admin-1 region capital
"7","20","5",Jinja,,,"0",Jinja,"0","0",,"0","0",Uganda,UGA,Uganda,UGA,Jinja,UG,,0.44042401011,33.1999267158,"4","0",Changed feature to Admin-0 region capital. Changed scale rank.,"301619","89700","301954","10","8","233114",,Jinja,"1","5",Admin-1 region capital
"7","20","5",Arua,,,"0",Arua,"0","0",,"0","0",Uganda,UGA,Uganda,UGA,Arua Municipality,UG,,3.02036989228,30.9000154203,"4","0",Changed feature to Admin-0 region capital.,"250000","59400","448106","10","8","235039",,Arua,"1","5",Admin-1 region capital
"7","20","5",Mbale,,,"0",Mbale,"0","0",,"0","0",Uganda,UGA,Uganda,UGA,Bungokho,UG,,1.09041017548,34.1699967028,"4","0",Changed feature to Admin-0 region capital.,"402368","91800","412742","10","8","229278",,Mbale,"1","5",Admin-1 region capital
"7","20","5",Moroto,,,"0",Moroto,"0","0",,"0","0",Uganda,UGA,Uganda,UGA,Moroto,UG,,2.54034751272,34.6399938545,"4","0",Changed feature to Admin-0 region capital.,"371","371","0","2","2","229112",,Moroto,"1","5",Admin-1 region capital
"7","20","5",Masaka,,,"0",Masaka,"0","0",,"0","0",Uganda,UGA,Uganda,UGA,Masaka,UG,,-0.32960650747,31.7299905993,"4","0",Changed feature to Admin-0 region capital.,"65373","65373","332942","8","8","229380",,Masaka,"1","5",Admin-1 region capital
"7","20","5",Mbarara,,,"0",Mbarara,"0","0",,"0","0",Uganda,UGA,Uganda,UGA,Kashari,UG,,-0.5996158662,30.6500048408,"4","0",Changed feature to Admin-0 region capital.,"83700","83700","281726","8","8","229268",,Mbarara,"1","5",Admin-1 region capital
"7","20","6",Otjiwarongo,,,"0",Otjiwarongo,"0","0",,"0","0",Namibia,NAM,Namibia,NAM,Otjozondjupa,NA,,-20.4595405896,16.6400072822,"4","0",Changed feature class.,"24815","21224","24815","7","7","3353811",,Otjiwarongo,"1","0",Admin-1 region capital
"7","20","3",Bologna,,,"0",Bologna,"0","0",,"0","0",Italy,ITA,Italy,ITA,Emilia-Romagna,IT,,44.5004219758,11.3400207099,"4","0",Changed feature class.,"488172","371217","467366","10","10","3181928",,Bologna,"1","0",Admin-1 region capital
"7","20","3",Cagliari,,,"0",Cagliari,"0","0",,"0","0",Italy,ITA,Italy,ITA,Sardegna,IT,,39.2223978872,9.10398148462,"4","0",Changed feature class.,"291511","164249","282477","10","9","2525473",,Cagliari,"1","0",Admin-1 region capital
"7","20","3",Catanzaro,,,"0",Catanzaro,"0","0",,"0","0",Italy,ITA,Italy,ITA,Calabria,IT,,38.9003761994,16.6000097236,"4","0",Changed feature class.,"95251","85831","85097","8","8","2525059",,Catanzaro,"1","0",Admin-1 region capital
"7","20","3",Bari,,,"0",Bari,"0","0",,"0","0",Italy,ITA,Italy,ITA,Apulia,IT,,41.114220397,16.8727579332,"4","0",Changed feature class.,"500577","316532","497121","11","10","3182351",,Bari,"1","0",Admin-1 region capital
"7","20","3",L'Aquila,,Aquila,"0",L'Aquila,"0","0",,"0","0",Italy,ITA,Italy,ITA,Abruzzo,IT,,42.3503981721,13.3900247789,"4","0",Changed feature class.,"68503","55900","55484","8","8","3175121",,L'Aquila,"1","0",Admin-1 region capital
"7","20","3",Ancona,,,"0",Ancona,"0","0",,"0","0",Italy,ITA,Italy,ITA,Marche,IT,,43.6003735546,13.4999405504,"4","0",Changed feature class.,"100507","90691","81315","9","8","3183089",,Ancona,"1","0",Admin-1 region capital
"7","20","3",Perugia,,,"0",Perugia,"0","0",,"0","0",Italy,ITA,Italy,ITA,Umbria,IT,,43.1103776236,12.3899824612,"4","0",Changed feature class.,"149125","134871","131874","9","9","3171180",,Perugia,"1","0",Admin-1 region capital
"7","20","3",Trieste,,,"0",Trieste,"0","0",,"0","0",Italy,ITA,Italy,ITA,Friuli-Venezia Giulia,IT,,45.6503776236,13.8000255927,"4","0",Changed feature class.,"216035","211184","214514","10","10","3165185",,Trieste,"1","0",Admin-1 region capital
"7","20","3",Trento,,,"0",Trento,"0","0",,"0","0",Italy,ITA,Italy,ITA,Trentino-Alto Adige,IT,,46.0804288931,11.1199824612,"4","0",Changed feature class.,"107808","104946","104805","9","9","3165243",,Trento,"1","0",Admin-1 region capital
"7","20","8",Fort-de-France,,,"0",Fort-de-France,"0","0",,"0","0",French Republic,FRA,France,FRA,Martinique,MQ,,14.6104118031,-61.0800291358,"4","0",Changed feature class.,"253995","91249","253995","10","8","3570675",,Fort-de-France,"1","0",Admin-1 region capital
"7","20","2",Gifu,,,"0",Gifu,"0","0",,"0","0",Japan,JPN,Japan,JPN,Gifu,JP,,35.4230949087,136.762752644,"4","0",Changed feature to Admin-0 region capital.,"412895","397714","1454338","10","10","1863641",,Gifu,"1","0",Admin-1 region capital
"7","20","8",Saint-Laurent-du-Maroni,,Albina,"0",Saint-Laurent-du-Maroni,"0","0",,"0","0",French Republic,FRA,France,FRA,Guinaa,GF,,5.49762408054,-54.0325345879,"1","0",Location adjusted. Changed scale rank.,"24287","17414","17414","7","6","3380387",,Saint-Laurent-du-Maroni,"1","0",Admin-1 region capital
"7","20","3",Caen,,,"0",Caen,"0","0",,"0","0",French Republic,FRA,France,FRA,Basse-Normandie,FR,,49.1837536815,-0.34998925923,"4","0",Changed feature class.,"190099","110624","179301","9","9","3029241",,Caen,"1","0",Admin-1 region capital
"7","20","3",Nantes,,,"0",Nantes,"0","0",,"0","0",French Republic,FRA,France,FRA,Pays de la Loire,FR,,47.2103857616,-1.5900169285,"4","0",Changed feature class.,"438537","277269","426481","10","10","2990969",,Nantes,"1","0",Admin-1 region capital
"7","20","3",Ajaccio,,,"0",Ajaccio,"0","0",,"0","0",French Republic,FRA,France,FRA,Corse,FR,,41.9270648387,8.72829382186,"0","0",,"54364","39446","33400","8","7","3038334",,Ajaccio,"1","0",Admin-1 region capital
"7","20","3",Montpellier,,,"0",Montpellier,"0","0",,"0","0",French Republic,FRA,France,FRA,Languedoc-Roussillon,FR,,43.6103987824,3.86998571637,"4","0",Changed feature class.,"327254","248252","318850","10","10","2992166",,Montpellier,"1","0",Admin-1 region capital
"7","20","3",Dijon,,,"0",Dijon,"0","0",,"0","0",French Republic,FRA,France,FRA,Bourgogne,FR,,47.3304042756,5.03001826846,"4","0",Changed feature class.,"169946","149782","156405","9","9","3021372",,Dijon,"1","0",Admin-1 region capital
